ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,yearly,yhat
4/30/2027,2205569.530091273,-197913.737,4524257.819624836,2098114.535072616,2313722.9425901095,-2795.808639,2202773.721451864
5/31/2027,2216101.3005922656,-117651.1085,4502497.9198937155,2105147.964,2326895.064841252,-17474.8976,2198626.4029956684
6/30/2027,2226293.336560968,-135752.3306,4536940.239184051,2110843.295760845,2339302.024385637,1256.7627011141499,2227550.099262082
7/31/2027,2236825.1070619603,-165502.6077,4505593.598316397,2116839.6225553453,2352368.403795298,-10891.05354,2225934.054
8/31/2027,2247356.877562952,-209930.6375,4535508.279,2124232.665064587,2367083.725182362,37331.477819801024,2284688.355382753
9/30/2027,2257548.9135316545,-95996.72971,4701448.972328537,2131164.428132554,2381259.6178829204,39540.65004131398,2297089.5635729684
10/31/2027,2268080.684032647,-17650.06666,4657829.176279731,2137947.5035572383,2393380.7284182026,22156.95486132562,2290237.6388939726
11/30/2027,2278272.720001349,-154720.213,4780890.782,2144478.790532451,2409328.092,2802.9051557979556,2281075.625157147
12/31/2027,2288804.490502342,-123739.6226,4533718.061858258,2151987.186806209,2423500.7523477133,-22698.81295,2266105.677554827
1/31/2028,2299336.261003334,-47081.54444,4443964.3843567325,2158969.324109074,2438306.1597040887,-69848.57862,2229487.6823831857
2/29/2028,2309188.562439746,139528.47481718444,4567748.578434852,2165339.415961332,2451445.3014548747,51065.53670968566,2360254.099149432
3/31/2028,2319720.3329407386,19337.282426235382,4695346.888847069,2172274.8072522064,2465491.8738992615,16076.012245150581,2335796.3451858894
4/30/2028,2329912.3689094414,-105933.5796,4826301.892930255,2177649.5505922176,2479497.9581736773,2143.4561396871195,2332055.8250491284
5/31/2028,2340444.1394104334,-22086.08965,4678423.923654702,2184334.0029989937,2493320.794324991,-278.6851541,2340165.454256346
6/30/2028,2350636.1753791356,98931.85058820857,4732052.440720061,2192361.278917491,2507782.6385733234,14054.900248496606,2364691.0756276324
7/31/2028,2361167.945880128,9233.677475,4654009.422231018,2199569.4470099485,2521079.799871387,1296.4537133400995,2362464.3995934683
8/31/2028,2371699.7163811205,81549.23510421837,4938955.542035887,2208436.1953178137,2535641.041587959,17896.932772740063,2389596.6491538608
9/30/2028,2381891.7523498223,-11998.96697,4740864.423,2214641.762933868,2550200.827037683,20561.585001021296,2402453.3373508435
10/31/2028,2392423.522850815,-655.5022409,4896380.360649298,2220462.709290452,2564940.757461899,18154.730384578575,2410578.2532353937
11/30/2028,2402615.5588195175,29870.33415758562,4673522.570686122,2226382.762403676,2580356.820719291,7642.5832973236065,2410258.142116841
12/31/2028,2413147.329,152941.66789183315,4753798.167,2232283.0455046627,2595432.457895229,-3805.416883,2409341.912437247
1/31/2029,2423679.0998215023,187296.65285806995,4752955.208787823,2239449.7730398355,2611116.2536125593,-29144.34771,2394534.7521078154
2/28/2029,2433191.666725624,49556.215975833344,4729450.611344475,2245889.376929363,2624948.673,68018.86723538114,2501210.533961005
3/31/2029,2443723.437226617,114245.85815770546,4674883.316286383,2253339.761995471,2639734.6054680073,20608.436840937145,2464331.874067554
4/30/2029,2453915.4731953186,90371.99973021832,4475485.311051409,2258594.286330309,2655091.1934669926,737.1589211980697,2454652.6321165166
5/31/2029,2464447.243696311,91993.26591173303,4843615.349352972,2266859.404681114,2671168.334,-5911.867853,2458535.3758432805
6/30/2029,2474639.2796650133,210278.57731025075,4957463.752499563,2273350.4086464527,2684320.2346292287,9714.320569301852,2484353.6002343153
7/31/2029,2485171.0501660057,228561.7393102727,4859892.589687248,2280611.068,2698051.891369699,-3012.401309,2482158.6488574804
8/31/2029,2495702.820666998,184110.22598737138,5019213.552525893,2287552.654208653,2712858.765758597,24178.376232050232,2519881.1968990485
9/30/2029,2505894.8566357004,119840.35686160035,4880553.105363055,2293340.7512660176,2724552.094404775,26972.99944541356,2532867.856081114
10/31/2029,2516426.627136693,355441.7722771395,5068899.059597792,2300603.660234697,2737903.984278545,19685.477750404996,2536112.104887098
11/30/2029,2526618.663105395,137201.42220385966,4988020.745375241,2307796.606891358,2754152.357210419,6223.237911124854,2532841.901
12/31/2029,2537150.4336063876,-11043.10513,5044247.072670127,2314709.155087066,2767151.1835768516,-9995.605111,2527154.828495056
1/31/2030,2547682.2041073795,101911.63959479808,4767423.797748493,2321084.767158952,2783466.7211916917,-43060.93914,2504621.2649638983
2/28/2030,2557194.771011502,230281.49276158362,5038145.575793398,2325796.8027533162,2799684.441167175,85151.28683387837,2642346.058
3/31/2030,2567726.5415124944,233993.1807791292,4970048.1114984555,2330422.4949051174,2815919.2145324433,24900.714741039523,2592627.256253534
4/30/2030,2577918.5774811967,197754.5521165377,4858798.520344096,2336396.8856085786,2829963.736036418,-910.1351834,2577008.4422977543
5/31/2030,2588450.347982189,207708.02769161543,5004490.070307269,2341502.5721026002,2844143.2811115044,-11646.91785,2576803.430129089
6/30/2030,2598642.3839508914,248390.39178966449,4953803.274939375,2346322.5099396175,2857988.7919395873,5445.523851761058,2604087.9078026526
7/31/2030,2609174.154451883,456621.41577554966,5093819.834001466,2351495.7289340417,2872499.9082230446,-7076.266362,2602097.8880899195
8/31/2030,2619705.9249528763,290452.4505178218,5040194.944,2357274.117038536,2888642.805084764,30659.48153,2650365.406483464
9/30/2030,2629897.960921578,374369.8022928505,4906391.343278923,2364248.042320034,2902299.9502115794,33302.766216109056,2663200.727137687
10/31/2030,2640429.7314225705,290584.9176921039,5091240.479500147,2372283.1665133154,2917924.9464811054,21020.64837708161,2661450.379799652
11/30/2030,2650621.767391273,307303.1528586138,4898889.607328781,2378465.452414242,2932412.6910131588,4608.502252,2655230.2696433803
12/31/2030,2661153.537892265,172389.89439338847,4916726.9599337345,2384007.878906765,2948913.798559561,-16297.57026,2644855.9676362313
1/31/2031,2671685.308393257,112499.73714679742,4923481.754459317,2389412.0492084883,2964645.830003225,-56633.79811,2615051.5102787158
2/28/2031,2681197.8752973797,306141.2131714665,5263183.286335461,2396217.4967984622,2979347.1269467254,102442.44019651231,2783640.315493892
3/31/2031,2691729.645798372,504916.4733028534,5142291.768029624,2401332.5546373692,2994889.3810404665,28943.10148553551,2720672.7472839076
